,CONJUNTO,VIZINHOS,GAP
0,HP1,1t,0.0245757753071971
1,HP1,2t,0.0315974253949678
2,HP1,3t,0.0040959625511995
3,HP2,1t,0.0602636534839924
4,HP2,2t,0.0574387947269303
5,HP2,3t,0.0091023226616446
6,PB1,1t,0.0967637540453074
7,PB1,2t,0.0268608414239482
8,PB1,3t,0.0045307443365695
9,PB2,1t,0.0718769617074701
10,PB2,2t,0.0477087256748273
11,PB2,3t,0.0134965473948524
12,PB4,1t,0.1801445864156018
13,PB4,2t,0.0339715030262273
14,PB4,3t,0.0040664929388029
15,PB5,1t,0.1159420289855072
16,PB5,2t,0.0079476390836839
17,PB5,3t,0.0079476390836839
18,PB6,1t,0.4175257731958763
19,PB6,2t,0.2139175257731958
20,PB6,3t,0.0335051546391752
21,PB7,1t,0.123671497584541
22,PB7,2t,0.0164251207729468
23,PB7,3t,0.0202898550724637
24,SENTO1,1t,0.3852290272774061
25,SENTO1,2t,0.0043746783324755
26,SENTO1,3t,0.003345342254246
27,SENTO2,1t,0.3433845448291676
28,SENTO2,2t,0.0149048383398303
29,SENTO2,3t,0.0011465260261407
30,WEING1,1t,0.0758858420985574
31,WEING1,2t,0.0550616514956327
32,WEING1,3t,0.0542405753195826
33,WEING2,1t,0.172894875575896
34,WEING2,2t,0.137336399685215
35,WEING2,3t,0.0853586791256312
36,WEING3,1t,0.1352780710097515
37,WEING3,2t,0.0179667004609258
38,WEING3,3t,0.0080374593685002
39,WEING4,1t,0.1534226601975916
40,WEING4,2t,0.0276108834644745
41,WEING4,3t,0.0
42,WEING5,1t,0.3259140046155714
43,WEING5,2t,0.0410745374306652
44,WEING5,3t,0.0382404145916838
45,WEING6,1t,0.3463478866662073
46,WEING6,2t,0.0834768762009753
47,WEING6,3t,0.0402915259946563
48,WEING7,1t,0.078838280333563
49,WEING7,2t,0.0008562730214661
50,WEING7,3t,0.0001652296555281
51,WEING8,1t,0.5924647495911545
52,WEING8,2t,0.075933937618429
53,WEING8,3t,0.0552057521875835
54,WEISH01,1t,0.4167764602547211
55,WEISH01,2t,0.0169082125603864
56,WEISH01,3t,0.0043917435221783
57,WEISH02,1t,0.1380070546737213
58,WEISH02,2t,0.0
59,WEISH02,3t,0.015432098765432
60,WEISH03,1t,0.3730255164034022
61,WEISH03,2t,0.0
62,WEISH03,3t,0.008505467800729
63,WEISH04,1t,0.3231747423810568
64,WEISH04,2t,0.0122780092085069
65,WEISH04,3t,0.0065775049331287
66,WEISH05,1t,0.3190075321222862
67,WEISH05,2t,0.01395657953035
68,WEISH05,3t,0.0119627824545857
69,WEISH06,1t,0.2278207666006838
70,WEISH06,2t,0.0107971927298902
71,WEISH06,3t,0.0
72,WEISH07,1t,0.3517154661397521
73,WEISH07,2t,0.0341296928327645
74,WEISH07,3t,0.0071851984911083
75,WEISH08,1t,0.1958965209634255
76,WEISH08,2t,0.0087421944692239
77,WEISH08,3t,0.0023193577163247
78,WEISH09,1t,0.5169653069004956
79,WEISH09,2t,0.0120091498284407
80,WEISH09,3t,0.0070529927563858
81,WEISH10,1t,0.3495819529894305
82,WEISH10,2t,0.0059946363779775
83,WEISH10,3t,0.0074144186780249
84,WEISH11,1t,0.4846712741449583
85,WEISH11,2t,0.0063795853269537
86,WEISH11,3t,0.0033670033670033
87,WEISH12,1t,0.3562076037229847
88,WEISH12,2t,0.0001577535888941
89,WEISH12,3t,0.0
90,WEISH13,1t,0.2735833739243383
91,WEISH13,2t,0.0
92,WEISH13,3t,0.0045461925637278
93,WEISH14,1t,0.4639056658038539
94,WEISH14,2t,0.0149554213402358
95,WEISH14,3t,0.0047454702329594
96,WEISH15,1t,0.2189420251135453
97,WEISH15,2t,0.0145605129575207
98,WEISH15,3t,0.0040074806305102
99,WEISH16,1t,0.3731650432158046
100,WEISH16,2t,0.0123473727534641
101,WEISH16,3t,0.000274386061188
102,WEISH17,1t,0.3712498552067647
103,WEISH17,2t,0.0022008571759527
104,WEISH17,3t,0.0
105,WEISH18,1t,0.3926931106471816
106,WEISH18,2t,0.0
107,WEISH18,3t,0.0026096033402922
108,WEISH19,1t,0.5401402961808262
109,WEISH19,2t,0.0049363471031436
110,WEISH19,3t,0.0016887503247596
111,WEISH20,1t,0.3847619047619047
112,WEISH20,2t,0.0152380952380952
113,WEISH20,3t,0.0005291005291005
114,WEISH21,1t,0.3240026449195504
115,WEISH21,2t,0.0297553449415913
116,WEISH21,3t,0.0026449195503636
117,WEISH22,1t,0.4607130881859841
118,WEISH22,2t,0.018777243768861
119,WEISH22,3t,0.0020118475466636
120,WEISH23,1t,0.4343240651965484
121,WEISH23,2t,0.0254074784276126
122,WEISH23,3t,0.0
123,WEISH24,1t,0.3898238747553816
124,WEISH24,2t,0.0042074363992172
125,WEISH24,3t,0.0027397260273972
126,WEISH25,1t,0.3969212194385753
127,WEISH25,2t,0.0071435758124559
128,WEISH25,3t,0.0017104336452359
129,WEISH26,1t,0.455863939899833
130,WEISH26,2t,0.0123121869782971
131,WEISH26,3t,0.0
132,WEISH27,1t,0.4594154190854466
133,WEISH27,2t,0.0008147469192382
134,WEISH27,3t,0.0003055300947143
135,WEISH28,1t,0.5562579013906448
136,WEISH28,2t,0.0229667088074167
137,WEISH28,3t,0.0
138,WEISH29,1t,0.5077577045696068
139,WEISH29,2t,0.0128586609989373
140,WEISH29,3t,0.0
141,WEISH30,1t,0.471360915020999
142,WEISH30,2t,0.0093825395407023
143,WEISH30,3t,0.000357430077741
