CONJUNTO,AMOSTRAS,PORCENTAGEM,VETOR,CUSTO,GAP,TIME,PARTS,N_GENETIC_OUTPUT,CHANCE_OF_MUTATION
WEING1,10,0.8,[1 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 1 0 1 0 1 0 0 1],103831,0.2650589617633319,0.09288215637207031,2,5,0.5
WEING1,10,0.8,[0 1 1 1 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 1],123675,0.1245983097155962,0.06939578056335449,2,5,0.5
WEING1,10,0.8,[0 0 1 0 0 0 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 0 1 0 0],124884,0.11604071405314345,0.09303808212280273,2,5,0.5
WEING1,10,0.8,[1 0 1 0 1 0 0 1 1 1 0 0 1 1 1 1 0 0 0 1 1 0 0 1 1 1 1 0],124137,0.12132816149718993,0.08347082138061523,2,5,0.5
WEING1,10,0.8,[0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 1],101607,0.2808009739662226,0.08292150497436523,2,5,0.5
WEING2,10,0.8,[0 0 1 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0 1 1 0 1 0 0],124697,0.04726358656204396,0.11146378517150879,2,5,0.5
WEING2,10,0.8,[0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0],88801,0.3215238037025435,0.015239477157592773,2,5,0.5
WEING2,10,0.8,[0 1 1 0 1 0 0 1 0 1 0 1 1 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0],126397,0.03427488673089706,0.06191062927246094,2,5,0.5
WEING2,10,0.8,[0 0 1 1 0 1 0 1 0 1 0 0 0 1 1 1 1 1 0 0 0 1 1 1 0 0 1 0],96404,0.2634337538106553,0.07795858383178711,2,5,0.5
WEING2,10,0.8,[1 0 1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 1 0 1 1 1 0 0 1 1 0],117343,0.10345117394925239,0.08878540992736816,2,5,0.5
WEING3,10,0.8,[0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0],78592,0.178569562172727,0.05281686782836914,2,5,0.5
WEING3,10,0.8,[0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 0],71059,0.25730321811929724,0.059762001037597656,2,5,0.5
WEING3,10,0.8,[0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0],72302,0.24431159003731304,0.023838043212890625,2,5,0.5
WEING3,10,0.8,[0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0],90492,0.0541927526991858,0.04115653038024902,2,5,0.5
WEING3,10,0.8,[0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0],92618,0.031972156317610294,0.08770251274108887,2,5,0.5
WEING4,10,0.8,[0 0 1 0 1 0 0 1 0 1 1 0 1 1 1 0 1 1 0 0 0 1 1 1 1 1 1 0],112882,0.054090516771831035,0.12145352363586426,2,5,0.5
WEING4,10,0.8,[0 0 1 0 0 0 0 1 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 0 0],95721,0.19789336081852232,0.02822709083557129,2,5,0.5
WEING4,10,0.8,[0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0],61572,0.4840493727846351,0.02107977867126465,2,5,0.5
WEING4,10,0.8,[0 1 1 0 1 0 1 1 0 1 0 1 0 1 1 0 1 0 0 0 0 0 1 1 0 1 1 0],116562,0.02325347545187159,0.12901544570922852,2,5,0.5
WEING4,10,0.8,[0 1 1 0 1 0 1 1 0 1 0 1 0 1 0 0 1 0 0 1 0 1 1 1 0 1 0 0],117578,0.014739770565708875,0.12713336944580078,2,5,0.5
WEING5,10,0.8,[0 0 0 1 0 0 0 1 0 1 0 0 1 1 1 0 1 0 0 0 1 0 1 1 0 0 1 0],92007,0.0687173569780153,0.12034225463867188,2,5,0.5
WEING5,10,0.8,[1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0],82976,0.16012794040244543,0.06546354293823242,2,5,0.5
WEING5,10,0.8,[0 0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0],95677,0.03157010405279566,0.0585331916809082,2,5,0.5
WEING5,10,0.8,[0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0],75519,0.23560670472488765,0.05277705192565918,2,5,0.5
